interval,hour,minute,second,acX,acY,acX,gyX,gyY,gyZ,denoisedAcX,denoisedAcY,denoisedAcZ
5,16,30,18,1856,-5752,10496,518,1297,4224,-28,8,-124
5,16,30,18,1920,-5856,10512,512,1285,4224,36,-96,-108
5,16,30,18,1928,-5656,10752,514,1285,4224,44,104,132
5,16,30,18,1920,-5728,10496,512,1296,4224,36,32,-124
5,16,30,18,1864,-5784,10496,518,1280,4224,-20,-24,-124
5,16,30,18,1896,-5760,10752,516,1296,4224,12,0,132
5,16,30,18,1856,-5752,10512,518,1296,4224,-28,8,-108
5,16,30,18,1896,-5880,10512,514,1300,4224,12,-120,-108
5,16,30,18,1888,-5760,10752,518,1280,4224,4,0,132
5,16,30,18,1856,-5688,10512,512,1300,4224,-28,72,-108
5,16,30,18,1896,-5664,10768,514,1284,4224,12,96,148
5,16,30,18,1952,-5784,10496,518,1285,4224,68,-24,-124
5,16,30,18,1960,-5784,10496,518,1280,4224,76,-24,-124
5,16,30,18,1888,-5728,10752,516,1300,4224,4,32,132
5,16,30,18,1800,-5792,10752,516,1281,4224,-84,-32,132
5,16,30,18,1856,-5688,10496,516,1281,4224,-28,72,-124
5,16,30,18,1800,-5728,10496,518,1284,4224,-84,32,-124
5,16,30,18,1984,-5752,10768,518,1301,4224,100,8,148
5,16,30,18,1952,-5728,10512,516,1285,4224,68,32,-108
5,16,30,18,1928,-5728,10496,514,1280,4224,44,32,-124
5,16,30,18,1896,-5696,10768,514,1301,4224,12,64,148
5,16,30,19,1824,-5784,10512,516,1281,4224,-60,-24,-108
5,16,30,19,1960,-5752,10512,518,1281,4224,76,8,-108
5,16,30,19,1928,-5760,10496,518,1296,4224,44,0,-124
5,16,30,19,1928,-5752,10512,512,1285,4224,44,8,-108
5,16,30,19,1952,-5696,10512,518,1301,4224,68,64,-108
5,16,30,19,1920,-5752,10496,518,1300,4224,36,8,-124
5,16,30,19,1832,-5696,10496,514,1297,4224,-52,64,-124
5,16,30,19,1888,-5688,10768,514,1297,4224,4,72,148
5,16,30,19,1888,-5760,10496,514,1284,4224,4,0,-124
5,16,30,19,1920,-5816,10752,512,1281,4224,36,-56,132
5,16,30,19,1888,-5696,10768,512,1280,4224,4,64,148
5,16,30,19,1896,-5848,10752,514,1300,4224,12,-88,132
5,16,30,19,1952,-5664,10512,518,1284,4224,68,96,-108
5,16,30,19,1896,-5816,10512,518,1296,4224,12,-56,-108
5,16,30,19,1920,-5784,10496,514,1284,4224,36,-24,-124
5,16,30,19,1832,-5792,10256,518,1300,4224,-52,-32,-364
5,16,30,19,1928,-5760,10768,518,1300,4224,44,0,148
5,16,30,19,1896,-5824,10496,518,1285,4224,12,-64,-124
5,16,30,19,1960,-5816,10496,518,1285,4224,76,-56,-124
5,16,30,19,1888,-5664,10496,514,1285,4224,4,96,-124
5,16,30,19,1824,-5688,10768,518,1297,4224,-60,72,148
5,16,30,19,1888,-5688,10496,516,1281,4224,4,72,-124
5,16,30,16,1984,-5792,10500,516,1301,4224,100,-32,-120
5,16,30,16,1888,-5760,10752,512,1285,4224,4,0,132
5,16,30,16,1856,-5760,10512,516,1284,4224,-28,0,-108
5,16,30,16,1888,-5792,10516,514,1285,4224,4,-32,-104
5,16,30,16,1896,-5816,10772,516,1285,4224,12,-56,152
5,16,30,16,1792,-5760,10752,512,1300,4224,-92,0,132
5,16,30,16,1888,-5784,10500,512,1300,4224,4,-24,-120
5,16,30,16,1824,-5752,10756,516,1301,4224,-60,8,136
5,16,30,16,1928,-5816,10752,516,1285,4224,44,-56,132
5,16,30,16,1960,-5784,10496,512,1280,4224,76,-24,-124
5,16,30,16,1824,-5760,10756,514,1300,4224,-60,0,136
5,16,30,16,2016,-5752,10516,512,1280,4224,132,8,-104
